ID,Name,Address,Zip,Date,Result
9569,Alachua County Sheriff's Office,3333 NE 39th Avenue,32609,5/24/16,Unsatisfactory
5498,Alachua County Sheriff's Office,3333 NE 39th Avenue,32609,9/16/16,Satisfactory
7456,Alachua County Sheriff's Office,3333 NE 39th Avenue,32609,12/28/16,Satisfactory
4271,Alachua County Sheriff's Office,3333 NE 39th Avenue,32609,3/24/17,Satisfactory
1745,Alachua County Sheriff's Office,3333 NE 39th Avenue,32609,9/15/16,Satisfactory
8792,Alachua County Work Release Program,3371 NE 39th Avenue,32609,5/12/16,Satisfactory
8428,Alachua County Work Release Program,3371 NE 39th Avenue,32609,12/2/16,Satisfactory
1575,Alachua Regional Detention Center,3440 NE 39 Avenue,32609,5/24/16,Satisfactory
3995,Alachua Regional Detention Center,3440 NE 39 Avenue,32609,7/12/16,Satisfactory
1096,Alachua Regional Detention Center,3440 NE 39 Avenue,32609,10/6/16,Satisfactory
2034,Alachua Regional Detention Center,3440 NE 39 Avenue,32609,1/4/17,Satisfactory
3771,Albert Ray Massey Recreation Center,1001 NW 34th Street,32605,4/22/16,Satisfactory
6947,Albert Ray Massey Recreation Center,1001 NW 34th Street,32605,10/21/16,Satisfactory
9750,Alpha Delta Pi,831 W Panhellenic Drive,32601,9/14/16,Unsatisfactory
3031,Alpha Delta Pi,831 W Panhellenic Drive,32601,12/9/16,Satisfactory
6864,Alpha Epsilon Phi Sorority,832 W Panhellenic Drive,32601,9/27/16,Satisfactory
3717,Alpha Epsilon Phi Sorority,832 W Panhellenic Drive,32601,1/13/17,Satisfactory
9886,Alpha Epsilon Pi Fraternity House,2303 W Fraternity Drive,32603,9/20/16,Satisfactory
7404,Alpha Epsilon Pi Fraternity House,2303 W Fraternity Drive,32603,12/2/16,Satisfactory
4123,Alpha Gamma Rho,407 SW 13th Street,32601,3/30/16,Satisfactory
8463,Alpha Gamma Rho,407 SW 13th Street,32601,9/13/16,Incomplete
6476,Alpha Gamma Rho,407 SW 13th Street,32601,9/28/16,Satisfactory
1339,Alpha Gamma Rho,407 SW 13th Street,32601,1/10/17,Unsatisfactory
3101,Alpha Gamma Rho,407 SW 13th Street,32601,2/15/17,Satisfactory
9057,Alpha Omicron Pi,819 W Panhellenic Drive,32601,9/14/16,Satisfactory
3270,Alpha Omicron Pi,819 W Panhellenic Drive,32601,1/18/17,Satisfactory
5096,Alpha Tau Omega,207 SW 13th Street,32601,4/13/16,Satisfactory
2258,Alpha Tau Omega,207 SW 13th Street,32601,9/13/16,Satisfactory
9366,Alpha Tau Omega,207 SW 13th Street,32601,1/9/17,Satisfactory
4585,Al'z Place,1610 NW 23rd Avenue,32605,3/20/17,Satisfactory
1659,Al'z Place,1610 NW 23rd Avenue,32605,10/25/16,Satisfactory
6399,Al'z Place,1610 NW 23rd Avenue,32605,12/19/16,Satisfactory
5301,AMI Kids - Gainesville,6815 SW Archer  Road,32608,7/26/16,Satisfactory
3323,AMI Kids - Gainesville,6815 SW Archer  Road,32608,2/6/17,Satisfactory
6582,Annie's House ALF,1201 NW 39th Avenue,32609,2/9/17,Satisfactory
2247,Aramark @ UF-Camellia Court Cafe in Harn Museum,3539 Hull Road,32611,6/21/16,Satisfactory
1414,Aramark @ UF-Camellia Court Cafe in Harn Museum,3539 Hull Road,32611,8/9/16,Satisfactory
5511,Aramark @ UF-Camellia Court Cafe in Harn Museum,3539 Hull Road,32611,10/28/16,Satisfactory
4815,Aramark @ UF-Camellia Court Cafe in Harn Museum,3539 Hull Road,32611,2/8/17,Satisfactory
4665,Aramark POD @ Hub,100 Stadium Road,32611,6/17/16,Satisfactory
1428,Aramark POD @ Hub,100 Stadium Road,32611,9/9/16,Satisfactory
5627,Aramark POD @ Hub,100 Stadium Road,32611,11/10/16,Satisfactory
5325,Aramark POD @ Hub,100 Stadium Road,32611,3/2/17,Satisfactory
5599,Aramark Starbuck's Hub,University of Florida,32611,9/9/16,Satisfactory
1075,Aramark Starbuck's Hub,University of Florida,32611,3/2/17,Satisfactory
1397,Arcade Bar,6 E University Avenue,32601,12/22/16,Unsatisfactory
9689,Arcade Bar,6 E University Avenue,32601,1/6/17,Unsatisfactory
6402,Arcade Bar,6 E University Avenue,32601,1/31/17,Satisfactory
6903,Arredondo Room/Classic Fare Catering,118 SW JWRU - UF,32611,9/16/16,Satisfactory
9268,Arredondo Room/Classic Fare Catering,118 SW JWRU - UF,32611,12/1/16,Satisfactory
7084,Arredondo Room/Classic Fare Catering,118 SW JWRU - UF,32611,3/21/17,Satisfactory
7803,Atlantic Nightspot,15 N Main Street,32601,9/23/16,Satisfactory
3503,Au Bon Pain Bakery & Cafe,1700 Stadium Road,32611,3/28/17,Incomplete
1740,Balls,1716 W University Avenue,32603,9/14/16,Satisfactory
6447,Balls,1716 W University Avenue,32603,2/16/17,Satisfactory
8778,Balls,1716 W University Avenue,32603,9/16/16,Satisfactory
8512,Bank Bar & Lounge,22 W University Avenue,32601,9/22/16,Satisfactory
9662,Ben Hill Griffin Stadium,Stadium Rd & No -So Drive,32604,9/17/16,Satisfactory
7514,Beta Theta Pi Fraternity,2315 Fraternity Drive,32603,8/26/16,Satisfactory
9491,Beta Theta Pi Fraternity,2315 Fraternity Drive,32603,11/28/16,Unsatisfactory
3684,Beta Theta Pi Fraternity,2315 Fraternity Drive,32603,3/23/17,Satisfactory
9020,Beta Theta Pi Fraternity,2315 Fraternity Drive,32603,11/29/16,Satisfactory
7382,Bhakti Academy,214 NW 14th Street,32603,5/10/16,Satisfactory
4271,Bhakti Academy,214 NW 14th Street,32603,8/19/16,Incomplete
2016,Bhakti Academy,214 NW 14th Street,32603,9/7/16,Satisfactory
7860,Bhakti Academy,214 NW 14th Street,32603,11/16/16,Satisfactory
2686,Blackadder Brewing Company,"618 NW 60th Street, Suite A",32607,11/22/16,Satisfactory
8985,Boulware Charter School,1303 NE 23rd Avenue,32609,4/27/16,Satisfactory
2045,Boulware Charter School,1303 NE 23rd Avenue,32609,12/9/16,Satisfactory
3034,Boys & Girls Clubs of Alachua County/Mentor Center,1100 SE 17th Drive,32601,8/10/16,Incomplete
1002,Boys & Girls Clubs of Alachua County/Mentor Center,1100 SE 17th Drive,32601,8/19/16,Satisfactory
8544,Boys & Girls Clubs of Alachua County/Mentor Center,1100 SE 17th Drive,32601,12/6/16,Satisfactory
3872,Boys & Girls Clubs of Alachua County/Woodland Park,331 SE 20th Place,32641,7/22/16,Satisfactory
1302,Boys & Girls Clubs of Alachua County/Woodland Park,331 SE 20th Place,32641,11/16/16,Satisfactory
5892,BPO Elks Lodge 990,2424 NW 23rd Boulevard,32605,4/19/16,Satisfactory
7831,BPO Elks Lodge 990,2424 NW 23rd Boulevard,32605,7/22/16,Satisfactory
2987,BPO Elks Lodge 990,2424 NW 23rd Boulevard,32605,11/1/16,Satisfactory
2805,BPO Elks Lodge 990,2424 NW 23rd Boulevard,32605,1/19/17,Satisfactory
1720,Brookdale Gainesville Southwest,1001 SW 62nd Boulevard,32607,5/16/16,Satisfactory
8628,Brookdale Gainesville Southwest,1001 SW 62nd Boulevard,32607,8/9/16,Satisfactory
5171,Brookdale Gainesville Southwest,1001 SW 62nd Boulevard,32607,11/9/16,Satisfactory
5720,Brookdale Gainesville Southwest,1001 SW 62nd Boulevard,32607,2/1/17,Satisfactory
3314,Broward Chick-Fil-A,60 Inner Road,32611,8/19/16,Satisfactory
5961,Broward Chick-Fil-A,60 Inner Road,32611,12/9/16,Satisfactory
7577,Buchholz High School,5510 NW 27th Avenue,32606,6/8/16,Satisfactory
9929,Buchholz High School,5510 NW 27th Avenue,32606,7/13/16,Satisfactory
2708,Buchholz High School,5510 NW 27th Avenue,32606,10/6/16,Satisfactory
6141,Buchholz High School,5510 NW 27th Avenue,32606,1/10/17,Satisfactory
8256,C. W. Norton Elementary,2200 N W 45th Avenue,32605,4/25/16,Satisfactory
4836,C. W. Norton Elementary,2200 N W 45th Avenue,32605,7/14/16,Satisfactory
4756,C. W. Norton Elementary,2200 N W 45th Avenue,32605,10/4/16,Satisfactory
9789,C. W. Norton Elementary,2200 N W 45th Avenue,32605,1/3/17,Satisfactory
2264,C. W. Norton Elementary,2200 N W 45th Avenue,32605,4/29/16,Satisfactory
6701,Cafe 131,"3055 NE 28th Drive, Building 11",32609,5/31/16,Satisfactory
